,ppl,ppl,dist,dist
"{'stepsize': 0.01, 'kl_scale': 0.0, 'grad_length': 6, 'gm_scale': 0.8}",88.0,164.8,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.01, 'grad_length': 12, 'gm_scale': 0.1}",90.86,141.74,0.91,0.04
"{'stepsize': 0.01, 'kl_scale': 0.01, 'grad_length': 12, 'gm_scale': 0.5}",84.22,141.71,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.01, 'grad_length': 14, 'gm_scale': 0.8}",88.47,165.09,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.02, 'grad_length': 10, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.02, 'grad_length': 14, 'gm_scale': 0.4}",85.95,143.5,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.02, 'grad_length': 16, 'gm_scale': 0.2}",87.68,142.66,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.02, 'grad_length': 16, 'gm_scale': 0.6}",88.03,164.42,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.02, 'grad_length': 2, 'gm_scale': 0.1}",97.18,150.35,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.02, 'grad_length': 2, 'gm_scale': 0.5}",87.45,141.36,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.02, 'grad_length': 4, 'gm_scale': 0.4}",87.79,142.78,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.02, 'grad_length': 4, 'gm_scale': 0.8}",85.07,163.04,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.03, 'grad_length': 18, 'gm_scale': 0.3}",85.92,142.24,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.04, 'grad_length': 14, 'gm_scale': 0.5}",84.45,141.62,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.04, 'grad_length': 16, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.04, 'grad_length': 2, 'gm_scale': 0.5}",87.49,141.35,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.04, 'grad_length': 6, 'gm_scale': 0.3}",87.77,141.34,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.05, 'grad_length': 0, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.05, 'grad_length': 12, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.05, 'grad_length': 18, 'gm_scale': 0.3}",85.92,142.24,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.05, 'grad_length': 2, 'gm_scale': 0.9}",85.76,143.08,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.05, 'grad_length': 8, 'gm_scale': 0.6}",88.13,164.24,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.05, 'grad_length': 8, 'gm_scale': 0.8}",84.5,162.88,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.06, 'grad_length': 0, 'gm_scale': 0.6}",100.4,151.45,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.06, 'grad_length': 10, 'gm_scale': 0.6}",88.21,164.51,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.06, 'grad_length': 4, 'gm_scale': 0.1}",90.6,141.7,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.06, 'grad_length': 8, 'gm_scale': 0.5}",83.79,140.09,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.06, 'grad_length': 8, 'gm_scale': 0.8}",84.46,162.89,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.07, 'grad_length': 0, 'gm_scale': 0.3}",100.3,151.48,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.07, 'grad_length': 0, 'gm_scale': 0.9}",100.4,151.45,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.07, 'grad_length': 6, 'gm_scale': 0.9}",90.06,166.96,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.08, 'grad_length': 0, 'gm_scale': 0.2}",100.3,151.48,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.08, 'grad_length': 2, 'gm_scale': 0.3}",88.34,141.86,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.08, 'grad_length': 8, 'gm_scale': 0.7}",86.73,164.2,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.09, 'grad_length': 10, 'gm_scale': 0.6}",88.26,164.49,0.9,0.05
"{'stepsize': 0.01, 'kl_scale': 0.09, 'grad_length': 16, 'gm_scale': 0.3}",86.19,142.2,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.09, 'grad_length': 8, 'gm_scale': 0.9}",89.19,166.77,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.0, 'grad_length': 12, 'gm_scale': 0.5}",95.18,170.54,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.0, 'grad_length': 14, 'gm_scale': 0.2}",86.31,143.87,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.0, 'grad_length': 16, 'gm_scale': 0.9}",74.57,114.74,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.0, 'grad_length': 6, 'gm_scale': 0.4}",85.48,164.73,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.0, 'grad_length': 8, 'gm_scale': 0.1}",89.01,142.08,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.0, 'grad_length': 8, 'gm_scale': 0.3}",78.37,136.13,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.01, 'grad_length': 12, 'gm_scale': 0.7}",71.5,103.41,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.01, 'grad_length': 16, 'gm_scale': 0.3}",79.91,138.16,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.01, 'grad_length': 18, 'gm_scale': 0.4}",87.14,163.5,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.01, 'grad_length': 6, 'gm_scale': 0.1}",88.38,142.01,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.01, 'grad_length': 8, 'gm_scale': 0.6}",80.8,139.01,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.02, 'grad_length': 16, 'gm_scale': 0.9}",74.29,114.75,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.02, 'grad_length': 4, 'gm_scale': 0.3}",81.14,138.13,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.02, 'grad_length': 6, 'gm_scale': 0.5}",93.42,168.35,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.02, 'grad_length': 8, 'gm_scale': 0.1}",89.02,142.07,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.03, 'grad_length': 0, 'gm_scale': 0.9}",100.4,151.45,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.03, 'grad_length': 18, 'gm_scale': 0.2}",86.15,143.92,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.03, 'grad_length': 18, 'gm_scale': 0.3}",80.39,138.21,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.03, 'grad_length': 4, 'gm_scale': 0.3}",81.14,138.13,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.03, 'grad_length': 6, 'gm_scale': 0.6}",83.74,140.92,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.04, 'grad_length': 12, 'gm_scale': 0.6}",82.93,144.24,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.04, 'grad_length': 18, 'gm_scale': 0.1}",89.03,142.63,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.05, 'grad_length': 10, 'gm_scale': 0.6}",83.63,142.02,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.05, 'grad_length': 12, 'gm_scale': 0.3}",80.05,138.34,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.05, 'grad_length': 12, 'gm_scale': 0.6}",83.16,144.23,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.05, 'grad_length': 14, 'gm_scale': 0.4}",86.59,162.91,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.05, 'grad_length': 2, 'gm_scale': 0.6}",76.49,110.36,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.05, 'grad_length': 4, 'gm_scale': 0.2}",87.53,142.75,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.06, 'grad_length': 16, 'gm_scale': 0.9}",74.68,114.16,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.06, 'grad_length': 6, 'gm_scale': 0.8}",78.73,113.5,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.07, 'grad_length': 12, 'gm_scale': 0.9}",72.56,104.83,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.07, 'grad_length': 4, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.08, 'grad_length': 18, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.08, 'grad_length': 6, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.08, 'grad_length': 6, 'gm_scale': 0.1}",88.6,141.99,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.08, 'grad_length': 8, 'gm_scale': 0.5}",89.94,166.35,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.08, 'grad_length': 8, 'gm_scale': 0.9}",75.09,109.32,0.9,0.06
"{'stepsize': 0.02, 'kl_scale': 0.09, 'grad_length': 0, 'gm_scale': 0.2}",100.3,151.48,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.09, 'grad_length': 14, 'gm_scale': 0.5}",94.82,169.87,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.09, 'grad_length': 14, 'gm_scale': 0.9}",75.03,118.19,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.09, 'grad_length': 16, 'gm_scale': 0.5}",94.57,169.94,0.91,0.04
"{'stepsize': 0.02, 'kl_scale': 0.09, 'grad_length': 16, 'gm_scale': 0.9}",71.15,106.38,0.9,0.05
"{'stepsize': 0.02, 'kl_scale': 0.09, 'grad_length': 18, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.02, 'kl_scale': 0.09, 'grad_length': 8, 'gm_scale': 0.6}",83.72,140.09,0.9,0.06
"{'stepsize': 0.03, 'kl_scale': 0.0, 'grad_length': 2, 'gm_scale': 0.1}",90.24,142.23,0.91,0.05
"{'stepsize': 0.03, 'kl_scale': 0.01, 'grad_length': 0, 'gm_scale': 0.5}",100.4,151.45,0.91,0.05
"{'stepsize': 0.03, 'kl_scale': 0.01, 'grad_length': 14, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.03, 'kl_scale': 0.01, 'grad_length': 16, 'gm_scale': 0.1}",87.23,142.5,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.01, 'grad_length': 16, 'gm_scale': 0.3}",93.35,166.04,0.91,0.04
"{'stepsize': 0.03, 'kl_scale': 0.01, 'grad_length': 16, 'gm_scale': 0.4}",84.13,146.64,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.01, 'grad_length': 16, 'gm_scale': 0.7}",69.68,88.22,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.01, 'grad_length': 18, 'gm_scale': 0.7}",69.0,87.85,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.01, 'grad_length': 2, 'gm_scale': 0.2}",86.7,141.51,0.9,0.06
"{'stepsize': 0.03, 'kl_scale': 0.01, 'grad_length': 4, 'gm_scale': 0.3}",81.25,137.77,0.9,0.06
"{'stepsize': 0.03, 'kl_scale': 0.01, 'grad_length': 6, 'gm_scale': 0.5}",74.46,112.67,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.01, 'grad_length': 8, 'gm_scale': 0.4}",81.92,141.37,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.02, 'grad_length': 10, 'gm_scale': 0.5}",72.25,108.59,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.02, 'grad_length': 18, 'gm_scale': 0.7}",68.91,87.69,0.9,0.06
"{'stepsize': 0.03, 'kl_scale': 0.02, 'grad_length': 8, 'gm_scale': 0.5}",71.56,107.57,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.03, 'grad_length': 0, 'gm_scale': 0.4}",100.4,151.45,0.91,0.05
"{'stepsize': 0.03, 'kl_scale': 0.03, 'grad_length': 6, 'gm_scale': 0.9}",67.55,70.65,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.04, 'grad_length': 0, 'gm_scale': 0.2}",100.3,151.48,0.91,0.05
"{'stepsize': 0.03, 'kl_scale': 0.04, 'grad_length': 10, 'gm_scale': 0.9}",65.05,63.41,0.9,0.04
"{'stepsize': 0.03, 'kl_scale': 0.04, 'grad_length': 12, 'gm_scale': 0.4}",85.12,146.21,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.04, 'grad_length': 16, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.03, 'kl_scale': 0.04, 'grad_length': 6, 'gm_scale': 0.2}",86.42,142.05,0.91,0.04
"{'stepsize': 0.03, 'kl_scale': 0.05, 'grad_length': 0, 'gm_scale': 0.5}",100.4,151.45,0.91,0.05
"{'stepsize': 0.03, 'kl_scale': 0.05, 'grad_length': 0, 'gm_scale': 0.7}",100.4,151.45,0.91,0.05
"{'stepsize': 0.03, 'kl_scale': 0.05, 'grad_length': 18, 'gm_scale': 0.3}",91.45,165.11,0.9,0.04
"{'stepsize': 0.03, 'kl_scale': 0.07, 'grad_length': 12, 'gm_scale': 0.4}",85.36,146.2,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.07, 'grad_length': 8, 'gm_scale': 0.5}",71.87,107.93,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.07, 'grad_length': 8, 'gm_scale': 0.7}",69.19,76.6,0.9,0.06
"{'stepsize': 0.03, 'kl_scale': 0.08, 'grad_length': 0, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.03, 'kl_scale': 0.08, 'grad_length': 12, 'gm_scale': 0.3}",91.23,165.18,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.08, 'grad_length': 16, 'gm_scale': 0.7}",66.7,79.78,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.08, 'grad_length': 2, 'gm_scale': 0.2}",86.77,141.53,0.9,0.05
"{'stepsize': 0.03, 'kl_scale': 0.08, 'grad_length': 4, 'gm_scale': 0.1}",87.77,142.19,0.91,0.05
"{'stepsize': 0.03, 'kl_scale': 0.09, 'grad_length': 12, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.04, 'kl_scale': 0.01, 'grad_length': 14, 'gm_scale': 0.6}",73.38,118.02,0.9,0.05
"{'stepsize': 0.04, 'kl_scale': 0.01, 'grad_length': 16, 'gm_scale': 0.5}",63.12,56.71,0.9,0.06
"{'stepsize': 0.04, 'kl_scale': 0.01, 'grad_length': 6, 'gm_scale': 0.8}",83.0,190.31,0.9,0.05
"{'stepsize': 0.04, 'kl_scale': 0.02, 'grad_length': 14, 'gm_scale': 0.3}",76.64,124.63,0.9,0.06
"{'stepsize': 0.04, 'kl_scale': 0.02, 'grad_length': 16, 'gm_scale': 0.1}",84.79,142.15,0.91,0.05
"{'stepsize': 0.04, 'kl_scale': 0.03, 'grad_length': 10, 'gm_scale': 0.1}",84.96,142.18,0.9,0.05
"{'stepsize': 0.04, 'kl_scale': 0.03, 'grad_length': 10, 'gm_scale': 0.4}",73.76,109.2,0.9,0.06
"{'stepsize': 0.04, 'kl_scale': 0.03, 'grad_length': 10, 'gm_scale': 0.9}",69.83,110.77,0.9,0.06
"{'stepsize': 0.04, 'kl_scale': 0.03, 'grad_length': 14, 'gm_scale': 0.6}",75.11,118.91,0.9,0.05
"{'stepsize': 0.04, 'kl_scale': 0.03, 'grad_length': 16, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.04, 'kl_scale': 0.03, 'grad_length': 6, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.04, 'kl_scale': 0.03, 'grad_length': 6, 'gm_scale': 0.5}",75.35,117.41,0.9,0.05
"{'stepsize': 0.04, 'kl_scale': 0.04, 'grad_length': 10, 'gm_scale': 0.8}",67.55,103.84,0.9,0.05
"{'stepsize': 0.04, 'kl_scale': 0.04, 'grad_length': 12, 'gm_scale': 0.4}",71.01,105.99,0.9,0.06
"{'stepsize': 0.04, 'kl_scale': 0.05, 'grad_length': 0, 'gm_scale': 0.2}",100.3,151.48,0.91,0.05
"{'stepsize': 0.04, 'kl_scale': 0.05, 'grad_length': 16, 'gm_scale': 0.7}",61.05,54.78,0.9,0.05
"{'stepsize': 0.04, 'kl_scale': 0.07, 'grad_length': 18, 'gm_scale': 0.4}",72.3,108.28,0.9,0.05
"{'stepsize': 0.04, 'kl_scale': 0.07, 'grad_length': 2, 'gm_scale': 0.7}",70.52,110.82,0.9,0.06
"{'stepsize': 0.04, 'kl_scale': 0.07, 'grad_length': 4, 'gm_scale': 0.3}",74.79,108.72,0.9,0.05
"{'stepsize': 0.04, 'kl_scale': 0.07, 'grad_length': 6, 'gm_scale': 0.3}",79.82,140.49,0.9,0.05
"{'stepsize': 0.04, 'kl_scale': 0.08, 'grad_length': 0, 'gm_scale': 0.6}",100.4,151.45,0.91,0.05
"{'stepsize': 0.04, 'kl_scale': 0.08, 'grad_length': 12, 'gm_scale': 0.7}",62.04,49.97,0.9,0.05
"{'stepsize': 0.04, 'kl_scale': 0.08, 'grad_length': 2, 'gm_scale': 0.3}",73.24,104.92,0.91,0.05
"{'stepsize': 0.04, 'kl_scale': 0.08, 'grad_length': 4, 'gm_scale': 0.2}",81.4,137.91,0.9,0.05
"{'stepsize': 0.04, 'kl_scale': 0.09, 'grad_length': 16, 'gm_scale': 0.8}",64.86,102.04,0.9,0.05
"{'stepsize': 0.04, 'kl_scale': 0.09, 'grad_length': 6, 'gm_scale': 0.9}",69.17,103.72,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.0, 'grad_length': 0, 'gm_scale': 0.6}",100.4,151.45,0.91,0.05
"{'stepsize': 0.05, 'kl_scale': 0.0, 'grad_length': 10, 'gm_scale': 0.5}",64.4,63.47,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.0, 'grad_length': 16, 'gm_scale': 0.7}",64.26,100.58,0.89,0.05
"{'stepsize': 0.05, 'kl_scale': 0.01, 'grad_length': 12, 'gm_scale': 0.5}",64.74,67.23,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.01, 'grad_length': 14, 'gm_scale': 0.9}",51.68,45.11,0.86,0.13
"{'stepsize': 0.05, 'kl_scale': 0.01, 'grad_length': 8, 'gm_scale': 0.7}",76.36,126.41,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.02, 'grad_length': 10, 'gm_scale': 0.5}",64.7,63.27,0.9,0.06
"{'stepsize': 0.05, 'kl_scale': 0.02, 'grad_length': 12, 'gm_scale': 0.6}",63.51,100.26,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.02, 'grad_length': 14, 'gm_scale': 0.3}",70.31,103.32,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.02, 'grad_length': 14, 'gm_scale': 0.5}",64.33,66.41,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.02, 'grad_length': 2, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.05, 'kl_scale': 0.02, 'grad_length': 4, 'gm_scale': 0.8}",72.88,122.83,0.89,0.08
"{'stepsize': 0.05, 'kl_scale': 0.02, 'grad_length': 6, 'gm_scale': 0.7}",71.63,106.4,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.02, 'grad_length': 8, 'gm_scale': 0.6}",80.54,174.62,0.89,0.07
"{'stepsize': 0.05, 'kl_scale': 0.03, 'grad_length': 10, 'gm_scale': 0.2}",76.77,110.42,0.9,0.06
"{'stepsize': 0.05, 'kl_scale': 0.03, 'grad_length': 2, 'gm_scale': 0.8}",81.65,204.63,0.89,0.07
"{'stepsize': 0.05, 'kl_scale': 0.03, 'grad_length': 4, 'gm_scale': 0.5}",68.81,82.45,0.9,0.06
"{'stepsize': 0.05, 'kl_scale': 0.03, 'grad_length': 4, 'gm_scale': 0.7}",72.98,120.21,0.89,0.06
"{'stepsize': 0.05, 'kl_scale': 0.04, 'grad_length': 12, 'gm_scale': 0.4}",67.14,65.59,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.04, 'grad_length': 18, 'gm_scale': 0.4}",68.96,72.07,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.04, 'grad_length': 6, 'gm_scale': 0.9}",56.3,43.29,0.88,0.11
"{'stepsize': 0.05, 'kl_scale': 0.05, 'grad_length': 10, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.05, 'kl_scale': 0.05, 'grad_length': 12, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.05, 'kl_scale': 0.05, 'grad_length': 12, 'gm_scale': 0.7}",66.94,102.39,0.89,0.07
"{'stepsize': 0.05, 'kl_scale': 0.05, 'grad_length': 14, 'gm_scale': 0.6}",66.31,101.37,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.05, 'grad_length': 6, 'gm_scale': 0.5}",67.34,69.05,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.05, 'grad_length': 8, 'gm_scale': 0.1}",86.09,142.47,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.06, 'grad_length': 10, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.05, 'kl_scale': 0.06, 'grad_length': 12, 'gm_scale': 0.6}",65.98,101.7,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.06, 'grad_length': 4, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.05, 'kl_scale': 0.07, 'grad_length': 10, 'gm_scale': 0.6}",68.71,111.37,0.89,0.07
